                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                  1.401,                 1.0672,                 1.2329,                0.58877,                0.49038,                0.51418,                0.32009,                  1.322,                0.97342,                  1.193,                0.00439,                0.00439,                0.00439
                     88,                 1.4064,                 1.0674,                 1.2284,                0.59166,                0.49365,                0.51486,                0.32028,                 1.3226,                0.97067,                 1.1927,               0.004324,               0.004324,               0.004324
                     89,                 1.4002,                 1.0609,                 1.2284,                0.60349,                 0.4897,                 0.5156,                0.32008,                  1.323,                0.97177,                 1.1927,               0.004258,               0.004258,               0.004258
                     90,                 1.4009,                 1.0583,                 1.2175,                0.58888,                0.49594,                0.51522,                0.32066,                 1.3241,                0.97221,                 1.1933,               0.004192,               0.004192,               0.004192
                     91,                 1.3963,                 1.0571,                 1.2254,                0.58922,                0.49331,                0.51509,                0.31944,                 1.3249,                0.97222,                 1.1945,               0.004126,               0.004126,               0.004126
                     92,                 1.3961,                 1.0554,                 1.2231,                0.59497,                0.49094,                0.51465,                0.31937,                 1.3243,                0.97084,                 1.1939,                0.00406,                0.00406,                0.00406
                     93,                 1.3909,                 1.0514,                 1.2204,                0.59326,                0.49335,                0.51439,                0.31977,                 1.3234,                0.96955,                  1.193,               0.003994,               0.003994,               0.003994
                     94,                  1.397,                 1.0531,                 1.2233,                 0.5985,                0.49023,                0.51551,                 0.3197,                 1.3236,                0.97017,                 1.1932,               0.003928,               0.003928,               0.003928
                     95,                 1.3918,                 1.0488,                 1.2192,                0.58541,                0.49729,                0.51573,                   0.32,                 1.3232,                 0.9708,                 1.1928,               0.003862,               0.003862,               0.003862
                     96,                  1.383,                 1.0425,                 1.2168,                0.59407,                0.49596,                0.51581,                0.32002,                  1.324,                 0.9708,                 1.1928,               0.003796,               0.003796,               0.003796
                     97,                 1.3848,                 1.0415,                 1.2164,                0.59276,                0.49649,                0.51693,                0.32063,                 1.3237,                0.97018,                 1.1929,                0.00373,                0.00373,                0.00373
                     98,                 1.3932,                 1.0478,                 1.2194,                0.59323,                 0.4968,                0.51735,                0.32127,                 1.3241,                0.96908,                 1.1926,               0.003664,               0.003664,               0.003664
                     99,                 1.3879,                 1.0396,                 1.2175,                0.59532,                0.49157,                0.51665,                0.32084,                 1.3247,                0.96941,                 1.1924,               0.003598,               0.003598,               0.003598
                    100,                 1.3865,                  1.043,                 1.2128,                0.60135,                0.48655,                0.51663,                0.32117,                 1.3241,                0.96798,                 1.1919,               0.003532,               0.003532,               0.003532
                    101,                 1.3773,                 1.0299,                 1.2088,                 0.5965,                0.48842,                0.51675,                0.32067,                 1.3247,                0.96804,                 1.1916,               0.003466,               0.003466,               0.003466
                    102,                 1.3785,                 1.0309,                 1.2111,                0.59405,                0.49356,                0.51749,                 0.3219,                  1.323,                0.96803,                 1.1902,                 0.0034,                 0.0034,                 0.0034
                    103,                 1.3777,                 1.0356,                 1.2152,                0.59852,                0.49065,                0.51843,                0.32284,                 1.3234,                 0.9674,                 1.1903,               0.003334,               0.003334,               0.003334
                    104,                 1.3828,                 1.0358,                 1.2136,                0.59084,                0.49546,                0.51873,                  0.323,                  1.323,                0.96681,                 1.1905,               0.003268,               0.003268,               0.003268
                    105,                 1.3827,                 1.0324,                 1.2142,                0.60138,                0.49156,                0.51966,                 0.3233,                 1.3224,                0.96613,                 1.1904,               0.003202,               0.003202,               0.003202
                    106,                 1.3814,                 1.0357,                 1.2151,                0.59206,                0.49949,                0.52021,                0.32335,                 1.3226,                0.96571,                 1.1905,               0.003136,               0.003136,               0.003136
                    107,                 1.3733,                 1.0259,                 1.2089,                0.59762,                0.49859,                 0.5212,                0.32359,                 1.3231,                0.96458,                 1.1908,                0.00307,                0.00307,                0.00307
                    108,                 1.3761,                 1.0271,                  1.211,                0.60025,                 0.4954,                0.52136,                0.32406,                 1.3229,                0.96391,                 1.1904,               0.003004,               0.003004,               0.003004
                    109,                 1.3734,                 1.0232,                 1.2104,                0.60307,                0.49477,                 0.5209,                0.32425,                  1.324,                0.96363,                 1.1909,               0.002938,               0.002938,               0.002938
                    110,                 1.3754,                 1.0225,                 1.2082,                0.60702,                0.49037,                0.52086,                0.32436,                 1.3231,                0.96302,                 1.1901,               0.002872,               0.002872,               0.002872
                    111,                 1.3748,                 1.0201,                 1.2061,                0.60416,                0.49301,                0.52129,                0.32429,                 1.3234,                0.96244,                 1.1905,               0.002806,               0.002806,               0.002806
                    112,                 1.3774,                 1.0245,                 1.2083,                0.60568,                0.49254,                0.52058,                0.32384,                  1.324,                0.96281,                 1.1907,                0.00274,                0.00274,                0.00274
                    113,                 1.3751,                 1.0231,                 1.2087,                0.60566,                0.49202,                0.52015,                0.32321,                 1.3246,                0.96283,                 1.1908,               0.002674,               0.002674,               0.002674
                    114,                 1.3692,                 1.0151,                 1.2057,                 0.5996,                0.49659,                0.52122,                0.32435,                 1.3245,                0.96259,                 1.1909,               0.002608,               0.002608,               0.002608
                    115,                 1.3701,                  1.015,                 1.2034,                0.60627,                0.49372,                0.52128,                0.32402,                 1.3244,                 0.9624,                 1.1909,               0.002542,               0.002542,               0.002542
                    116,                 1.3769,                 1.0257,                  1.212,                0.60895,                0.48965,                0.52121,                0.32371,                 1.3244,                0.96214,                 1.1907,               0.002476,               0.002476,               0.002476
                    117,                 1.3687,                 1.0151,                  1.206,                0.60708,                0.49211,                0.52143,                0.32407,                 1.3239,                  0.962,                 1.1904,                0.00241,                0.00241,                0.00241
                    118,                 1.3632,                 1.0076,                 1.2038,                0.59883,                0.49589,                0.52113,                0.32411,                 1.3248,                0.96192,                 1.1908,               0.002344,               0.002344,               0.002344
                    119,                 1.3626,                 1.0094,                 1.1994,                0.60215,                 0.4956,                0.52155,                0.32376,                 1.3249,                0.96219,                 1.1906,               0.002278,               0.002278,               0.002278
                    120,                  1.364,                 1.0066,                 1.1988,                 0.5932,                0.49797,                0.52179,                0.32414,                 1.3247,                0.96178,                 1.1905,               0.002212,               0.002212,               0.002212
                    121,                 1.3609,                 1.0051,                 1.1995,                0.59711,                0.49875,                0.52236,                0.32401,                 1.3258,                0.96143,                 1.1906,               0.002146,               0.002146,               0.002146
                    122,                 1.3635,                 1.0106,                 1.2031,                0.59216,                0.50136,                 0.5224,                0.32438,                 1.3263,                0.96134,                 1.1906,                0.00208,                0.00208,                0.00208
                    123,                 1.3611,                0.99953,                 1.1982,                0.59329,                0.49854,                0.52224,                0.32414,                 1.3268,                0.96142,                 1.1905,               0.002014,               0.002014,               0.002014
                    124,                 1.3646,                 1.0018,                 1.1956,                0.59299,                0.50011,                0.52211,                0.32431,                 1.3272,                0.96112,                 1.1905,               0.001948,               0.001948,               0.001948
                    125,                 1.3588,                0.99925,                 1.1979,                0.59091,                0.50363,                0.52307,                0.32499,                 1.3273,                0.96092,                 1.1905,               0.001882,               0.001882,               0.001882
                    126,                 1.3647,                 1.0022,                 1.2019,                0.59367,                0.50146,                0.52361,                0.32496,                 1.3275,                0.96128,                 1.1905,               0.001816,               0.001816,               0.001816
                    127,                 1.3543,                0.99738,                 1.2015,                0.59072,                0.50464,                 0.5237,                0.32476,                 1.3276,                0.96122,                 1.1905,                0.00175,                0.00175,                0.00175
                    128,                 1.3561,                0.99283,                 1.1961,                0.58725,                0.50585,                0.52384,                0.32475,                 1.3274,                0.96056,                 1.1902,               0.001684,               0.001684,               0.001684
                    129,                 1.3579,                0.99612,                 1.1963,                  0.591,                0.50235,                0.52373,                0.32489,                 1.3277,                0.96056,                 1.1903,               0.001618,               0.001618,               0.001618
                    130,                 1.3575,                0.99224,                 1.1974,                0.59791,                0.49835,                0.52323,                0.32452,                 1.3276,                0.96034,                 1.1902,               0.001552,               0.001552,               0.001552
                    131,                  1.357,                0.99639,                 1.1966,                0.60034,                0.49766,                0.52341,                0.32478,                 1.3279,                0.96048,                 1.1903,               0.001486,               0.001486,               0.001486
                    132,                  1.352,                0.98973,                 1.1953,                 0.6019,                0.49543,                0.52263,                0.32443,                 1.3275,                 0.9599,                 1.1901,                0.00142,                0.00142,                0.00142
                    133,                 1.3551,                0.98996,                 1.1941,                0.60215,                0.49721,                0.52268,                0.32441,                 1.3274,                0.96004,                   1.19,               0.001354,               0.001354,               0.001354
                    134,                 1.3483,                0.98094,                 1.1915,                0.59689,                0.50047,                0.52202,                0.32419,                 1.3273,                0.96018,                 1.1899,               0.001288,               0.001288,               0.001288
                    135,                 1.3581,                 0.9913,                 1.1932,                0.59328,                0.50258,                 0.5219,                0.32393,                  1.327,                0.95975,                 1.1897,               0.001222,               0.001222,               0.001222
                    136,                 1.3576,                0.98875,                 1.1897,                0.59181,                 0.5019,                0.52214,                0.32433,                  1.327,                 0.9597,                 1.1897,               0.001156,               0.001156,               0.001156
                    137,                 1.3472,                0.97993,                 1.1907,                0.59278,                0.50161,                0.52194,                0.32431,                 1.3273,                0.95949,                 1.1899,                0.00109,                0.00109,                0.00109
                    138,                 1.3507,                0.98626,                 1.1933,                0.59187,                0.50136,                0.52209,                0.32432,                 1.3274,                0.95971,                   1.19,               0.001024,               0.001024,               0.001024
                    139,                 1.3407,                0.97331,                  1.189,                0.59241,                0.50096,                0.52201,                0.32435,                 1.3271,                0.95956,                 1.1899,               0.000958,               0.000958,               0.000958
                    140,                 1.3396,                0.97655,                 1.1892,                0.58856,                0.50341,                0.52216,                0.32438,                 1.3273,                0.95951,                   1.19,               0.000892,               0.000892,               0.000892
                    141,                 1.2443,                0.81869,                 1.1552,                0.58783,                0.50271,                0.52197,                0.32404,                 1.3279,                0.95946,                 1.1904,               0.000826,               0.000826,               0.000826
                    142,                   1.23,                0.80062,                 1.1447,                0.59053,                0.50208,                0.52182,                0.32385,                  1.328,                0.95946,                 1.1902,                0.00076,                0.00076,                0.00076
                    143,                 1.2269,                 0.7963,                 1.1452,                0.58996,                0.50348,                0.52189,                 0.3239,                  1.328,                0.95937,                 1.1902,               0.000694,               0.000694,               0.000694
                    144,                 1.2244,                0.79251,                 1.1417,                0.59015,                0.50382,                 0.5218,                0.32415,                  1.328,                0.95876,                 1.1902,               0.000628,               0.000628,               0.000628
                    145,                 1.2245,                0.79004,                 1.1444,                0.59225,                0.50267,                0.52206,                0.32436,                  1.328,                0.95854,                 1.1902,               0.000562,               0.000562,               0.000562
                    146,                 1.2172,                 0.7818,                 1.1408,                0.59318,                0.50309,                0.52236,                0.32464,                 1.3278,                0.95873,                 1.1901,               0.000496,               0.000496,               0.000496
                    147,                 1.2176,                0.78188,                  1.138,                0.59263,                0.50296,                0.52264,                0.32478,                  1.328,                0.95832,                 1.1901,                0.00043,                0.00043,                0.00043
                    148,                 1.2187,                0.78093,                 1.1385,                0.59827,                0.49936,                0.52265,                0.32502,                 1.3282,                 0.9584,                   1.19,               0.000364,               0.000364,               0.000364
                    149,                 1.2132,                0.77579,                 1.1372,                0.59727,                 0.4995,                0.52257,                0.32494,                 1.3282,                 0.9584,                   1.19,               0.000298,               0.000298,               0.000298
                    150,                  1.211,                0.77516,                 1.1367,                0.59424,                 0.5011,                0.52251,                0.32503,                 1.3283,                0.95845,                   1.19,               0.000232,               0.000232,               0.000232
